1.020266e+09	-9.899595e+06	1.997516e+06	-1.966041e+04	1.622734e+02	-9.622296e-01	4.732971e-03	-1.968262e-05	2.230740e-03	
1.182896e+09	-1.846748e+07	5.957715e+06	-1.000232e+05	1.407522e+03	-1.412226e+01	1.170299e-01	-7.863236e-04	8.104825e-04	
1.101340e+09	-2.476484e+07	1.129061e+07	-2.763827e+05	5.635275e+03	-8.124339e+01	9.625614e-01	-9.203364e-03	3.113410e-03	
9.407927e+08	-2.855323e+07	1.663040e+07	-5.438849e+05	1.475662e+04	-2.811286e+02	4.385729e+00	-5.499879e-02	2.284833e-02	
7.614266e+08	-2.982586e+07	2.069053e+07	-8.582264e+05	2.946725e+04	-7.055373e+02	1.379226e+01	-2.159572e-01	1.131952e-01	
5.950582e+08	-2.894144e+07	2.264846e+07	-1.151651e+06	4.848027e+04	-1.412644e+03	3.350806e+01	-6.343077e-01	4.095833e-01	
4.602850e+08	-2.651376e+07	2.232512e+07	-1.357129e+06	6.860535e+04	-2.381322e+03	6.706039e+01	-1.501214e+00	1.174137e+00	
3.614691e+08	-2.321790e+07	2.013865e+07	-1.430998e+06	8.566706e+04	-3.491700e+03	1.149954e+02	-2.997591e+00	2.811843e+00	
2.943186e+08	-1.964808e+07	1.687868e+07	-1.365663e+06	9.587953e+04	-4.546172e+03	1.733000e+02	-5.203869e+00	5.828551e+00	
2.499218e+08	-1.622648e+07	1.340665e+07	-1.188672e+06	9.710544e+04	-5.326045e+03	2.334015e+02	-8.015405e+00	1.072100e+01	
2.184435e+08	-1.318421e+07	1.039602e+07	-9.501262e+05	8.950031e+04	-5.661886e+03	2.840735e+02	-1.110864e+01	1.782111e+01	
1.928602e+08	-1.060256e+07	8.192620e+06	-7.046156e+05	7.532847e+04	-5.488914e+03	3.146955e+02	-1.398794e+01	2.714613e+01	
1.693414e+08	-8.468952e+06	6.815277e+06	-4.949928e+05	5.808889e+04	-4.865427e+03	3.186338e+02	-1.610922e+01	3.831532e+01	
1.470275e+08	-6.735047e+06	6.061073e+06	-3.433257e+05	4.134787e+04	-3.948554e+03	2.953948e+02	-1.704021e+01	5.057581e+01	
1.265770e+08	-5.349496e+06	5.649781e+06	-2.506311e+05	2.773775e+04	-2.939487e+03	2.506985e+02	-1.659663e+01	6.293973e+01	
1.089667e+08	-4.268277e+06	5.344567e+06	-2.033466e+05	1.844627e+04	-2.021388e+03	1.944960e+02	-1.490043e+01	7.439134e+01	
9.462125e+07	-3.452936e+06	5.012823e+06	-1.824634e+05	1.327676e+04	-1.313200e+03	1.377843e+02	-1.233746e+01	8.409515e+01	
8.325438e+07	-2.862546e+06	4.625255e+06	-1.713207e+05	1.112751e+04	-8.528928e+02	8.947631e+01	-9.432844e+00	9.153822e+01	
7.412425e+07	-2.451038e+06	4.216257e+06	-1.597296e+05	1.061535e+04	-6.099022e+02	5.442484e+01	-6.694514e+00	9.656911e+01	
6.644332e+07	-2.170432e+06	3.836303e+06	-1.442384e+05	1.058421e+04	-5.154442e+02	3.310167e+01	-4.482902e+00	9.933845e+01	
5.960934e+07	-1.976231e+06	3.519248e+06	-1.259206e+05	1.035575e+04	-4.952732e+02	2.271556e+01	-2.948576e+00	1.001808e+02	
5.335635e+07	-1.832770e+06	3.272155e+06	-1.075446e+05	9.721554e+03	-4.926802e+02	1.905052e+01	-2.047238e+00	9.949162e+01	
4.757658e+07	-1.714112e+06	3.082194e+06	-9.150250e+04	8.777129e+03	-4.769598e+02	1.819304e+01	-1.610599e+00	9.763974e+01	
4.228283e+07	-1.602713e+06	2.929522e+06	-7.896622e+04	7.724675e+03	-4.398349e+02	1.756972e+01	-1.434978e+00	9.493191e+01	
3.744211e+07	-1.487088e+06	2.797091e+06	-6.998931e+04	6.734906e+03	-3.861997e+02	1.614362e+01	-1.351878e+00	9.161549e+01	
3.303780e+07	-1.360434e+06	2.674067e+06	-6.397846e+04	5.896004e+03	-3.252787e+02	1.399221e+01	-1.261394e+00	8.789480e+01	
2.905670e+07	-1.221210e+06	2.554631e+06	-6.009348e+04	5.226963e+03	-2.653881e+02	1.166097e+01	-1.129559e+00	8.393850e+01	
2.549190e+07	-1.073276e+06	2.435739e+06	-5.744394e+04	4.713637e+03	-2.122871e+02	9.637616e+00	-9.646343e-01	7.987163e+01	
2.238071e+07	-9.254504e+05	2.316164e+06	-5.517842e+04	4.335587e+03	-1.693745e+02	8.110804e+00	-7.903860e-01	7.576166e+01	
1.970974e+07	-7.890872e+05	2.196849e+06	-5.259505e+04	4.073780e+03	-1.380795e+02	6.990803e+00	-6.283168e-01	7.161486e+01	
1.741533e+07	-6.747702e+05	2.081157e+06	-4.929585e+04	3.906360e+03	-1.179078e+02	6.064693e+00	-4.915242e-01	6.739390e+01	
1.538700e+07	-5.888977e+05	1.973889e+06	-4.529638e+04	3.804193e+03	-1.065507e+02	5.154586e+00	-3.860143e-01	6.305440e+01	
1.349689e+07	-5.322850e+05	1.879180e+06	-4.098852e+04	3.732515e+03	-1.005975e+02	4.204846e+00	-3.136408e-01	5.858549e+01	
1.165275e+07	-5.007367e+05	1.798486e+06	-3.694020e+04	3.657461e+03	-9.681720e+01	3.288780e+00	-2.733076e-01	5.403545e+01	
9.807273e+06	-4.866045e+05	1.729914e+06	-3.362654e+04	3.552762e+03	-9.334815e+01	2.561271e+00	-2.605921e-01	4.950987e+01	
7.992006e+06	-4.810278e+05	1.669263e+06	-3.123452e+04	3.403405e+03	-9.003499e+01	2.188568e+00	-2.677813e-01	4.514354e+01	
